"customer_id","event_date","event_name"
2,"2014-01-20 00:00:00","engagement_event"
2,"2014-01-24 00:00:00","engagement_event"
2,"2014-01-26 00:00:00","engagement_event"
3,"2014-01-08 00:00:00","engagement_event"
3,"2014-01-20 00:00:00","engagement_event"
3,"2014-01-25 00:00:00","engagement_event"
4,"2014-01-16 00:00:00","engagement_event"
4,"2014-01-23 00:00:00","engagement_event"
4,"2014-01-26 00:00:00","engagement_event"
5,"2014-01-25 00:00:00","engagement_event"
5,"2014-02-23 00:00:00","engagement_event"
5,"2014-02-24 00:00:00","engagement_event"
5,"2014-02-25 00:00:00","engagement_event"
6,"2014-01-04 00:00:00","engagement_event"
6,"2014-01-15 00:00:00","engagement_event"
6,"2014-01-28 00:00:00","engagement_event"
6,"2014-02-19 00:00:00","engagement_event"
6,"2014-02-27 00:00:00","engagement_event"
7,"2014-01-16 00:00:00","engagement_event"
7,"2014-01-21 00:00:00","engagement_event"
7,"2014-01-21 00:00:00","engagement_event"
7,"2014-01-21 00:00:00","engagement_event"
7,"2014-01-21 00:00:00","engagement_event"
7,"2014-01-23 00:00:00","engagement_event"
7,"2014-01-23 00:00:00","engagement_event"
7,"2014-01-27 00:00:00","engagement_event"
7,"2014-02-18 00:00:00","engagement_event"
7,"2014-02-24 00:00:00","engagement_event"
7,"2014-02-27 00:00:00","engagement_event"
8,"2014-01-24 00:00:00","engagement_event"
8,"2014-01-26 00:00:00","engagement_event"
8,"2014-02-24 00:00:00","engagement_event"
8,"2014-02-28 00:00:00","engagement_event"
8,"2014-03-21 00:00:00","engagement_event"
8,"2014-03-25 00:00:00","engagement_event"
9,"2014-01-23 00:00:00","engagement_event"
9,"2014-01-27 00:00:00","engagement_event"
9,"2014-02-24 00:00:00","engagement_event"
9,"2014-02-24 00:00:00","engagement_event"
9,"2014-02-26 00:00:00","engagement_event"
9,"2014-03-27 00:00:00","engagement_event"
10,"2014-01-22 00:00:00","engagement_event"
10,"2014-01-25 00:00:00","engagement_event"
10,"2014-02-27 00:00:00","engagement_event"
10,"2014-03-27 00:00:00","engagement_event"
10,"2014-04-25 00:00:00","engagement_event"
11,"2014-01-22 00:00:00","engagement_event"
11,"2014-01-23 00:00:00","engagement_event"
11,"2014-01-23 00:00:00","engagement_event"
